category,name,details
Star,Chief,"High-order cleansing; powerful wish anchor (7-Star). Use for major cleansing and protection protocols."
Star,Nine Heavens,"Visualization and higher inspiration; guidance channel. Use for insight and creativity."
Star,Nine Earth,"Accumulation, healing, material stability; use for steady health and assets."
Star,Great Moon,"Knowledge, information, research; use to download study and problem-solving insight."
Star,Six Harmony,"Relationship & harmonization frequency; use for reconciliation and group harmony."
Star,Black Tortoise,"Mind-influence and psychic sensitivity; use cautiously and pair with grounding/clearing."
Star,White Tiger,"Stamina, assertive force, clearing energy; use for removing blocks and execution."
Star,Surging Snake,"Sensing environment, networking and nuance; use for strategy and finding helpers."
Star,Red Phoenix,"Power of speech and articulation; craft spoken commands carefully (verbal karma matters)."
Star,Hook,"Ability to 'jump chapters' / change trajectory quickly; use for major shifts when portal/alignment exists."
Star,Assistant,"Wisdom / foresight; improves decision-making. Use with Moon constellations for downloads."
Star,Ambassador,"Opens fortune channels; luck catalyst. Use with Green Dragon constellations for luck openings."
Star,Pillar,"Support/partnership; brings allies and structural help. Use with metal constellations."
Star,Grass/Astrid,"Wealth frequency; steady income flows. Combine with Pleiades/Grain for wealth protocols."
Star,Grain,"Restoration, systemic reboot and deep healing; used for frequency reboot protocols."

ConstellationGroup,Green Dragon,"Members: horn, neck, foundation, house, heart, tail, basket — growth/fortune group; pairs with Ambassador for luck."
ConstellationGroup,Fire group,"Members: tail, room, beak, wing — often used with Destructor for protection/crisis aversion."
ConstellationGroup,Moon group,"Members: heart, danger, net, bow — secondary protocols for restoration and deep resets."
ConstellationGroup,Sun components,"Members: house, void, pleiades, star — used for cleansing & void work (void carries debris away)."
ConstellationGroup,Metal group,"Members: neck, ox, mound, ghost — metal constellations support Pillar/support protocols."
Constellation,Void,"Sun component used to remove/clear negative energy; cited in 23 Oct cleansing."
Constellation,Net,"Moon constellation used to catch and remove attachments during cleansing."
Constellation,Wing,"Fire constellation used to expand protective shield (used with Destructor)."

Door,Life door,"Open opportunities and life power — used to open energetic pathways."
Door,Death door,"Endings — useful to end cycles and for cleansing (explicitly used on 23 Oct)."
Door,Fear door,"Address anxiety and internal blocks; used with emotional alchemy protocols."
Door,Delusion door,"Clear confusion; use with clarity/wisdom protocols."

Palace,Destiny palace,"Core life theme / anchor. Sit with back-to when activating destiny-level work."
Palace,Wealth palace,"Finances and material resources. Target wealth protocols when formations land on this palace."
Palace,Career palace,"Career / public success. Use Hero + neck/danger formations for visibility in career palace."
Palace,Family/Relationship palace,"Personal relationships. Use Heart + Pillar + Net constellations for healing/mending."
Palace,Knowledge/Study palace,"Learning & downloads. Use Assistant + Moon/Great Moon hours for study downloads."
Palace,Karmic/Subconscious palace,"Clear old patterns. Use Hook + Bird + consecration/cleansing protocols."

ChartTiming,2025-10-23 05:00-07:00 (local),"Void constellation + 7-Star Chief — primary cleansing session (void carries debris away)."
ChartTiming,2025-10-24 15:00-17:00 (local),"Chief + Net constellation — secondary cleansing (net catches attachments)."
ChartTiming,Daily 09:00-11:00,"Destructor formation — protection window (example repeated as daily protective portal)."
ChartTiming,13:00-15:00 (ping wei),"Green Dragon return example — useful for career/wealth depending on palace overlap."
ChartTiming,19:00-21:00,"Flying bird formation (north) — evening formation used for spiritual / karma-work examples."

Protocol,Protection / Crisis Aversion,"Star(s): Destructor; Modifiers: Sun/Fire constellations (wing/tail). Steps: back-to-destiny palace; pick 9–11am formation; command + seal; physical protection. Template: 'I command the Destructor to form a shield around [me/place], repelling all malice. I anchor this with [exchange]. So it is done.'"
Protocol,Cleansing / Frequency Reboot,"Star(s): 7‑Star Chief; Modifiers: Void, Pleiades. Steps: prepare; activate chief; visualize debris to void; secure exchange; seal. Template: 'I command the 7‑Star Chief together with the Void constellation to sweep impurities from [me/place] into the void. So it is done.'"
Protocol,Wisdom / Quantum Vision,"Star(s): Assistant; Modifiers: Moon constellations. Steps: activate assistant + listen/download; act on guidance. Template: 'I activate the Assistant and Moon constellations to sharpen foresight for [topic]. So it is done.'"
Protocol,Luck / Fortune Catalyst,"Star(s): Ambassador; Modifiers: Green Dragon group. Steps: activate ambassador + green dragon; declare intention; take action. Template: 'I command the Ambassador with Green Dragon constellations to open fortunate channels for [goal]. So it is done.'"
Protocol,Visibility / Influence,"Star(s): Hero; Modifiers: neck,danger,beak,ghost. Steps: activate hero formation; speak from truth; take aligned outreach. Template: 'I activate the Hero formation to amplify authentic visibility for [project]. So it is done.'"
Protocol,Wealth / Windfalls,"Star(s): Grass/Astrid + Pleiades/Grain; Modifiers: Surging Snake may be used. Steps: cleanse + anchor exchange + pitch/action. Template: 'I command the Wealth star to magnetize reliable income for [goal], anchored with [exchange]. So it is done.'"
Protocol,Consecration / Blessing,"Star(s): any aligned star per chosen hour. Steps: cleanse space/object; pick consecration hour; infuse intent; seal. Template: 'I consecrate this [object] to hold the energy of [intention]. So it is done.'"

ProtocolRecipe,Protection Shield,"I command the Destructor to form a shield around [me/place], repelling all malice. I anchor with [exchange]. So it is done."
ProtocolRecipe,Cleansing Void Sweep,"I command the 7-Star Chief and Void to sweep impurities from [me/place] into the void. So it is done."
ProtocolRecipe,Wisdom Download,"I activate the Assistant and Moon constellations to reveal right next steps on [topic]. So it is done."
ProtocolRecipe,Luck Opening,"I command the Ambassador and Green Dragon to open fortunate channels for [goal]. So it is done."
ProtocolRecipe,Visibility Boost,"I activate the Hero formation to amplify authentic visibility for [project]. So it is done."
ProtocolRecipe,Wealth Magnet,"I command the Wealth star to magnetize reliable income for [goal], anchored with [exchange]. So it is done."
ProtocolRecipe,Consecrate Item/Water,"I consecrate this [item/water] to hold the energy of [intention]. So it is done."

CleansingStep,1,"Prepare: sit back-to your destiny palace; set intention and center breath."
CleansingStep,2,"Activate star: call the Chief (7-Star) or chosen star. Example phrase: 'I activate the 7-Star Chief to sweep impurities from [me/place]'."
CleansingStep,3,"Visualize debris leaving into the void; imagine Net constellation catching and removing attachments."
CleansingStep,4,"State equivalent exchange: declare a small exchange (donation, service, discipline)."
CleansingStep,5,"Seal the command: 'I seal this across spirit, heaven, earth and human realms. So it is done.'"

Resource,Qimen plotter / manifesting calendar,"Instructor site / plotter to highlight formations on your chart (interactive)."
Resource,Tongshu almanac,"Precomputed yearly calendar for planning portal days/hours."
Resource,QIMEN FULL TRANSCRIPT - TOC.md,"Quick section pointers and activation windows (in repo)."
Resource,QIMEN FULL TRANSCRIPT - Detailed Outline.md,"Structured outline with command templates and protocols (in repo)."
Resource,Major-points-organized.md files,"Per-session detailed extracts and examples (in repo)."

Quote,"Destructor formation 9am-11am","Between 9am to 11am, there's a very, very special formation using the Destructor Star." 
Quote,"Cleansing 23 Oct","I command the 7‑Star Chief to sweep all impurities...into the void."
Quote,"Command structure","Activate / Define / Amplify / Secure / Seal — that's the command structure."
